,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
1050,1050,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
1051,1051,0.0,0.8844,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead","[(8, 2), (74, 1), (111, 1), (153, 1)]"
1052,1052,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
1053,1053,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
1054,1054,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
1055,1055,1.0,0.8123,"unsprungsg, deitycomponent, pushindustrie, evilbicycle, evilbike, burgtec, completeyourkit, sensusgrip, yeticycle, deityblood","[(29, 1), (43, 1), (368, 1)]"
1056,1056,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
1057,1057,1.0,0.6665,"unsprungsg, deitycomponent, pushindustrie, evilbicycle, evilbike, burgtec, completeyourkit, sensusgrip, yeticycle, deityblood","[(93, 1)]"
1058,1058,1.0,0.7676,"unsprungsg, deitycomponent, pushindustrie, evilbicycle, evilbike, burgtec, completeyourkit, sensusgrip, yeticycle, deityblood","[(288, 1), (711, 1)]"
1059,1059,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
1060,1060,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
1061,1061,0.0,0.8244,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead","[(8, 1), (74, 1), (111, 1)]"
1062,1062,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
1063,1063,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
1064,1064,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
1065,1065,1.0,0.8121,"unsprungsg, deitycomponent, pushindustrie, evilbicycle, evilbike, burgtec, completeyourkit, sensusgrip, yeticycle, deityblood","[(29, 1), (43, 1), (368, 1)]"
1066,1066,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
1067,1067,1.0,0.6665,"unsprungsg, deitycomponent, pushindustrie, evilbicycle, evilbike, burgtec, completeyourkit, sensusgrip, yeticycle, deityblood","[(93, 1)]"
1068,1068,1.0,0.5647,"unsprungsg, deitycomponent, pushindustrie, evilbicycle, evilbike, burgtec, completeyourkit, sensusgrip, yeticycle, deityblood","[(99, 1), (617, 1)]"
1069,1069,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
1070,1070,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
1071,1071,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
1072,1072,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
1073,1073,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
1074,1074,0.0,0.9257,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead","[(62, 1), (65, 3), (111, 1), (120, 1), (137, 1), (451, 1)]"
1075,1075,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
1076,1076,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
1077,1077,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
1078,1078,1.0,0.8623,"unsprungsg, deitycomponent, pushindustrie, evilbicycle, evilbike, burgtec, completeyourkit, sensusgrip, yeticycle, deityblood","[(29, 1), (30, 1), (264, 1), (507, 1)]"
