Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,4,0.61,0.61,0.5745383359590192
100% Corpus,4,0.61,0.9099999999999999,0.5793254666985058
100% Corpus,4,0.61,symmetric,0.6017437623979449
100% Corpus,4,0.9099999999999999,0.01,0.5851252292463608
100% Corpus,4,0.9099999999999999,0.31,0.597002786418948
100% Corpus,4,0.9099999999999999,0.61,0.6124152078992399
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.6327568041809455
100% Corpus,4,0.9099999999999999,symmetric,0.5970058482270797
100% Corpus,4,symmetric,0.01,0.5932869212759727
100% Corpus,4,symmetric,0.31,0.604023757128802
100% Corpus,4,symmetric,0.61,0.5824639326445915
100% Corpus,4,symmetric,0.9099999999999999,0.5947191252208645
100% Corpus,4,symmetric,symmetric,0.5632265598281874
100% Corpus,4,asymmetric,0.01,0.6761713567855892
100% Corpus,4,asymmetric,0.31,0.6449255503154592
100% Corpus,4,asymmetric,0.61,0.5940898185147967
100% Corpus,4,asymmetric,0.9099999999999999,0.5723420851160215
100% Corpus,4,asymmetric,symmetric,0.6474814358467602
100% Corpus,5,0.01,0.01,0.5751042166088859
100% Corpus,5,0.01,0.31,0.5808702141826434
100% Corpus,5,0.01,0.61,0.5926601221988742
100% Corpus,5,0.01,0.9099999999999999,0.5706762369842316
100% Corpus,5,0.01,symmetric,0.5734314168196505
100% Corpus,5,0.31,0.01,0.5711975341159155
100% Corpus,5,0.31,0.31,0.557607152511407
100% Corpus,5,0.31,0.61,0.5706657072376363
100% Corpus,5,0.31,0.9099999999999999,0.5737419001948713
100% Corpus,5,0.31,symmetric,0.5766127403281625
100% Corpus,5,0.61,0.01,0.5756816062281536
100% Corpus,5,0.61,0.31,0.6063025219301161
100% Corpus,5,0.61,0.61,0.5886120067670833
100% Corpus,5,0.61,0.9099999999999999,0.5888233608454108
100% Corpus,5,0.61,symmetric,0.5794713932559672
100% Corpus,5,0.9099999999999999,0.01,0.6067280683404318
100% Corpus,5,0.9099999999999999,0.31,0.6126421632307657
100% Corpus,5,0.9099999999999999,0.61,0.6358205382278201
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.6314801651936397
100% Corpus,5,0.9099999999999999,symmetric,0.6053492180213719
100% Corpus,5,symmetric,0.01,0.5773047763267258
100% Corpus,5,symmetric,0.31,0.5749656125698257
100% Corpus,5,symmetric,0.61,0.5767927330851648
100% Corpus,5,symmetric,0.9099999999999999,0.5754680308676026
100% Corpus,5,symmetric,symmetric,0.5564808379333528
100% Corpus,5,asymmetric,0.01,0.6177057180642892
100% Corpus,5,asymmetric,0.31,0.5834430659583075
100% Corpus,5,asymmetric,0.61,0.5876859649254815
100% Corpus,5,asymmetric,0.9099999999999999,0.602729413612776
100% Corpus,5,asymmetric,symmetric,0.6378677632295753
100% Corpus,6,0.01,0.01,0.5607679821211229
100% Corpus,6,0.01,0.31,0.5856181579706176
100% Corpus,6,0.01,0.61,0.5852161114261526
100% Corpus,6,0.01,0.9099999999999999,0.5803345410372388
100% Corpus,6,0.01,symmetric,0.5692301843713273
100% Corpus,6,0.31,0.01,0.5496130185157337
100% Corpus,6,0.31,0.31,0.5589694156346744
100% Corpus,6,0.31,0.61,0.5667877263409086
100% Corpus,6,0.31,0.9099999999999999,0.5634832611890247
100% Corpus,6,0.31,symmetric,0.5536637999837457
100% Corpus,6,0.61,0.01,0.5759504920559444
100% Corpus,6,0.61,0.31,0.602777230623369
100% Corpus,6,0.61,0.61,0.6042641817249992
100% Corpus,6,0.61,0.9099999999999999,0.5931088167117415
100% Corpus,6,0.61,symmetric,0.5947354937455032
100% Corpus,6,0.9099999999999999,0.01,0.6005778608778979
100% Corpus,6,0.9099999999999999,0.31,0.6276410369819508
100% Corpus,6,0.9099999999999999,0.61,0.6473287910228275
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.650109732384092
100% Corpus,6,0.9099999999999999,symmetric,0.6075792871472586
100% Corpus,6,symmetric,0.01,0.5602925637087157
100% Corpus,6,symmetric,0.31,0.5809115152956732
100% Corpus,6,symmetric,0.61,0.5831742003765061
100% Corpus,6,symmetric,0.9099999999999999,0.5771541967157648
100% Corpus,6,symmetric,symmetric,0.5682627141494486
100% Corpus,6,asymmetric,0.01,0.6183553497955009
100% Corpus,6,asymmetric,0.31,0.5954400235839391
100% Corpus,6,asymmetric,0.61,0.5343822198270199
100% Corpus,6,asymmetric,0.9099999999999999,0.5671623304865674
100% Corpus,6,asymmetric,symmetric,0.6040886137410064
100% Corpus,7,0.01,0.01,0.5691208458491329
100% Corpus,7,0.01,0.31,0.5771428367243987
100% Corpus,7,0.01,0.61,0.5741214364158723
100% Corpus,7,0.01,0.9099999999999999,0.5794280977928771
100% Corpus,7,0.01,symmetric,0.556099131803513
100% Corpus,7,0.31,0.01,0.529427457984498
100% Corpus,7,0.31,0.31,0.5687060756936518
100% Corpus,7,0.31,0.61,0.5694399196607526
100% Corpus,7,0.31,0.9099999999999999,0.5736197595717659
100% Corpus,7,0.31,symmetric,0.5369426626345174
100% Corpus,7,0.61,0.01,0.5851734342444453
100% Corpus,7,0.61,0.31,0.6075859670629907
100% Corpus,7,0.61,0.61,0.6217100411660865
100% Corpus,7,0.61,0.9099999999999999,0.6178830165105796
100% Corpus,7,0.61,symmetric,0.5888514653349258
100% Corpus,7,0.9099999999999999,0.01,0.6148730774704025
100% Corpus,7,0.9099999999999999,0.31,0.6464371279332789
100% Corpus,7,0.9099999999999999,0.61,0.6470656156232678
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.6707094007541073
100% Corpus,7,0.9099999999999999,symmetric,0.5927827955244425
100% Corpus,7,symmetric,0.01,0.5410244340559266
100% Corpus,7,symmetric,0.31,0.5715099058376312
100% Corpus,7,symmetric,0.61,0.5898362930718377
100% Corpus,7,symmetric,0.9099999999999999,0.57440740313875
100% Corpus,7,symmetric,symmetric,0.5471869259526064
100% Corpus,7,asymmetric,0.01,0.5512861641476842
100% Corpus,7,asymmetric,0.31,0.5942040569688748
100% Corpus,7,asymmetric,0.61,0.5017091062683138
100% Corpus,7,asymmetric,0.9099999999999999,0.5534715566726957
100% Corpus,7,asymmetric,symmetric,0.6216757257608442
100% Corpus,8,0.01,0.01,0.536963887996235
100% Corpus,8,0.01,0.31,0.5765319433742013
100% Corpus,8,0.01,0.61,0.554519872120467
100% Corpus,8,0.01,0.9099999999999999,0.5808241806008255
100% Corpus,8,0.01,symmetric,0.5417353727365903
100% Corpus,8,0.31,0.01,0.5183551262291037
100% Corpus,8,0.31,0.31,0.5495195571593907
100% Corpus,8,0.31,0.61,0.5559816145133757
100% Corpus,8,0.31,0.9099999999999999,0.5595566663524478
100% Corpus,8,0.31,symmetric,0.5370724281600787
100% Corpus,8,0.61,0.01,0.5810351319772834
100% Corpus,8,0.61,0.31,0.5982504752765125
100% Corpus,8,0.61,0.61,0.5880957098290281
100% Corpus,8,0.61,0.9099999999999999,0.6197492193869019
100% Corpus,8,0.61,symmetric,0.5892879640460874
100% Corpus,8,0.9099999999999999,0.01,0.5899053190885594
100% Corpus,8,0.9099999999999999,0.31,0.6118021997286732
100% Corpus,8,0.9099999999999999,0.61,0.6558398795335073
100% Corpus,8,0.9099999999999999,0.9099999999999999,0.6568641811354827
100% Corpus,8,0.9099999999999999,symmetric,0.599675533098624
100% Corpus,8,symmetric,0.01,0.5183848081898759
100% Corpus,8,symmetric,0.31,0.5303105960566872
100% Corpus,8,symmetric,0.61,0.5687809529004056
100% Corpus,8,symmetric,0.9099999999999999,0.5747351177010082
100% Corpus,8,symmetric,symmetric,0.5449036320137426
100% Corpus,8,asymmetric,0.01,0.5637725339562886
100% Corpus,8,asymmetric,0.31,0.5037840156156862
100% Corpus,8,asymmetric,0.61,0.5195900797347828
100% Corpus,8,asymmetric,0.9099999999999999,0.4968428735264536
100% Corpus,8,asymmetric,symmetric,0.5155048271627116
100% Corpus,9,0.01,0.01,0.5637371807477958
100% Corpus,9,0.01,0.31,0.5762695738030889
100% Corpus,9,0.01,0.61,0.5557991617976381
100% Corpus,9,0.01,0.9099999999999999,0.5426667411353788
100% Corpus,9,0.01,symmetric,0.5603901444013518
100% Corpus,9,0.31,0.01,0.5283658975763497
100% Corpus,9,0.31,0.31,0.5565457963968079
100% Corpus,9,0.31,0.61,0.5286084979126031
100% Corpus,9,0.31,0.9099999999999999,0.5480225612070839
