,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
1021,1021,0.0,0.8197,"richie_rude, first, stage, race, morethanmyth, day, second, year, raceface, team","[(20, 1), (33, 1), (37, 1), (38, 1), (55, 1), (91, 2), (100, 1), (136, 1), (215, 1), (268, 1), (283, 1), (287, 1), (371, 1), (416, 1), (467, 2), (530, 1), (536, 1), (543, 1), (565, 1), (597, 1), (603, 1), (609, 1), (844, 1), (846, 2), (984, 1), (1022, 1), (1103, 1), (1122, 1), (1201, 1), (1231, 1), (1269, 1), (1575, 1), (1998, 1), (2045, 1), (2193, 1), (2582, 1), (2583, 1), (2584, 1), (2585, 1)]"
1022,1022,0.0,0.3333,"richie_rude, first, stage, race, morethanmyth, day, second, year, raceface, team",[]
1023,1023,1.0,0.6384,"yeticycle, ridedriven, racebre, ride, trail, shock, rideshimano, bike, chriskingbuzz, photo","[(7, 1), (20, 1), (49, 1), (71, 1), (111, 1), (138, 1), (139, 1), (269, 1), (282, 1), (284, 1), (311, 1), (368, 1), (393, 1), (423, 1), (463, 1), (509, 1), (578, 1), (609, 1), (642, 1), (645, 1), (656, 1), (811, 1), (827, 1), (838, 1), (844, 1), (846, 2), (922, 1), (929, 1), (984, 1), (1481, 1), (1657, 1), (1839, 1), (2035, 1), (2045, 1), (2336, 1), (2586, 1), (2587, 1), (2588, 1), (2589, 1), (2590, 1), (2591, 1), (2592, 1), (2593, 1), (2594, 1), (2595, 1), (2596, 1)]"
1024,1024,2.0,0.6645,"link, bio, full, rampage, watch, race, team, bike, dtswiss, day","[(2085, 1)]"
1025,1025,1.0,0.494,"yeticycle, ridedriven, racebre, ride, trail, shock, rideshimano, bike, chriskingbuzz, photo","[(14, 1), (20, 1), (63, 1), (66, 2), (111, 1), (169, 1), (229, 1), (269, 2), (273, 1), (400, 1), (635, 1), (680, 1), (682, 1), (844, 1), (1011, 1), (1022, 1), (1064, 1), (1240, 1), (2045, 1), (2362, 1), (2503, 1), (2506, 1), (2507, 1)]"
1026,1026,0.0,0.3333,"richie_rude, first, stage, race, morethanmyth, day, second, year, raceface, team",[]
1027,1027,1.0,0.9744,"yeticycle, ridedriven, racebre, ride, trail, shock, rideshimano, bike, chriskingbuzz, photo","[(20, 1), (70, 1), (111, 1), (122, 2), (123, 1), (228, 1), (348, 1), (356, 1), (369, 1), (431, 1), (432, 1), (482, 1), (607, 1), (658, 1), (791, 2), (844, 1), (1022, 1), (2045, 1), (2429, 1), (2597, 1), (2598, 1), (2599, 1), (2600, 1), (2601, 1), (2602, 1)]"
1028,1028,1.0,0.9724,"yeticycle, ridedriven, racebre, ride, trail, shock, rideshimano, bike, chriskingbuzz, photo","[(20, 1), (69, 1), (123, 1), (351, 1), (366, 1), (432, 1), (440, 1), (483, 1), (548, 1), (555, 1), (557, 1), (835, 1), (1068, 1), (1076, 1), (1200, 1), (1223, 1), (1236, 1), (1353, 1), (1372, 1), (1810, 1), (2561, 1), (2603, 1), (2604, 1), (2605, 1), (2606, 1), (2607, 1)]"
1029,1029,1.0,0.6645,"yeticycle, ridedriven, racebre, ride, trail, shock, rideshimano, bike, chriskingbuzz, photo","[(1987, 1)]"
1030,1030,1.0,0.9667,"yeticycle, ridedriven, racebre, ride, trail, shock, rideshimano, bike, chriskingbuzz, photo","[(69, 1), (75, 1), (94, 1), (122, 1), (169, 1), (357, 1), (366, 1), (371, 1), (424, 1), (450, 1), (557, 1), (680, 1), (695, 1), (845, 1), (1064, 1), (1240, 1), (1286, 1), (1379, 1), (1525, 1), (2070, 1), (2150, 1), (2214, 1), (2500, 1), (2503, 1), (2506, 1), (2608, 1), (2609, 1)]"
1031,1031,2.0,0.6662,"link, bio, full, rampage, watch, race, team, bike, dtswiss, day","[(2013, 1)]"
1032,1032,1.0,0.8626,"yeticycle, ridedriven, racebre, ride, trail, shock, rideshimano, bike, chriskingbuzz, photo","[(20, 1), (844, 1), (1022, 1), (2045, 1)]"
1033,1033,1.0,0.5781,"yeticycle, ridedriven, racebre, ride, trail, shock, rideshimano, bike, chriskingbuzz, photo","[(20, 1), (126, 1), (231, 1), (244, 1), (257, 1), (326, 1), (348, 1), (352, 2), (380, 1), (382, 2), (412, 1), (431, 1), (658, 4), (711, 1), (811, 1), (812, 1), (813, 1), (844, 1), (846, 1), (1068, 1), (1074, 1), (1075, 1), (1196, 1), (1253, 1), (1346, 1), (1354, 1), (1477, 1), (1741, 1), (2045, 1), (2116, 1), (2246, 1), (2426, 1), (2607, 1), (2610, 1), (2611, 1), (2612, 1), (2613, 1), (2614, 1), (2615, 1), (2616, 1), (2617, 2), (2618, 1), (2619, 1), (2620, 1), (2621, 1), (2622, 1), (2623, 1), (2624, 1), (2625, 1), (2626, 1), (2627, 1), (2628, 1)]"
1034,1034,1.0,0.8431,"yeticycle, ridedriven, racebre, ride, trail, shock, rideshimano, bike, chriskingbuzz, photo","[(20, 1), (63, 1), (99, 1), (136, 1), (169, 1), (214, 1), (357, 1), (375, 1), (423, 1), (680, 1), (708, 1), (812, 1), (844, 1), (893, 1), (1022, 1), (1064, 1), (1240, 1), (1277, 1), (2045, 1), (2506, 1), (2507, 1), (2629, 1), (2630, 1), (2631, 1)]"
1035,1035,1.0,0.6618,"yeticycle, ridedriven, racebre, ride, trail, shock, rideshimano, bike, chriskingbuzz, photo","[(2632, 1)]"
1036,1036,2.0,0.979,"link, bio, full, rampage, watch, race, team, bike, dtswiss, day","[(17, 1), (23, 1), (38, 1), (55, 1), (82, 1), (122, 1), (218, 3), (223, 1), (226, 1), (241, 1), (251, 1), (351, 1), (395, 1), (400, 2), (440, 1), (637, 1), (711, 1), (728, 1), (855, 1), (877, 1), (922, 1), (1311, 1), (1312, 1), (1449, 1), (1509, 1), (1525, 1), (1747, 1), (1810, 1), (2042, 1), (2466, 1), (2633, 1), (2634, 1), (2635, 1), (2636, 1), (2637, 1), (2638, 1)]"
1037,1037,0.0,0.6184,"richie_rude, first, stage, race, morethanmyth, day, second, year, raceface, team","[(2045, 1)]"
1038,1038,1.0,0.643,"yeticycle, ridedriven, racebre, ride, trail, shock, rideshimano, bike, chriskingbuzz, photo","[(33, 1), (63, 1), (69, 1), (92, 1), (109, 1), (169, 1), (214, 1), (215, 1), (348, 1), (634, 1), (1064, 1), (1798, 1), (2506, 1), (2639, 1), (2640, 1), (2641, 1)]"
1039,1039,2.0,0.6662,"link, bio, full, rampage, watch, race, team, bike, dtswiss, day","[(2013, 1)]"
1040,1040,1.0,0.8627,"yeticycle, ridedriven, racebre, ride, trail, shock, rideshimano, bike, chriskingbuzz, photo","[(20, 1), (844, 1), (1022, 1), (2045, 1)]"
