Validation_Set,Topics,Alpha,Beta,Coherence,,,,
100% Corpus,10,0.01,0.31,0.446767191,0.454893285,,,
100% Corpus,10,0.01,0.61,0.436682995,,,,
100% Corpus,10,0.01,0.91,0.439633278,,,,
100% Corpus,10,0.01,symmetric,0.461194368,,,,
100% Corpus,10,0.31,0.01,0.482567642,,,,
100% Corpus,10,0.31,0.31,0.468100487,,,,
100% Corpus,10,0.31,0.61,0.44738572,,,,
100% Corpus,10,0.31,0.91,0.443458881,,,,
100% Corpus,10,0.31,symmetric,0.476287789,,,,
100% Corpus,10,0.61,0.01,0.500178503,,,,
100% Corpus,10,0.61,0.31,0.459175159,,,,
100% Corpus,10,0.61,0.61,0.416396417,,,,
100% Corpus,10,0.61,0.91,0.410857831,,,,
100% Corpus,10,0.61,symmetric,0.504235323,,,,
100% Corpus,10,0.91,0.01,0.490724438,,,,
100% Corpus,10,0.91,0.31,0.431419213,,,,
100% Corpus,10,0.91,0.61,0.46637528,,,,
100% Corpus,10,0.91,0.91,0.463673827,,,,
100% Corpus,10,0.91,symmetric,0.478238333,,,,
100% Corpus,10,symmetric,0.01,0.476551015,,,,
100% Corpus,10,symmetric,0.31,0.471102132,,,,
100% Corpus,10,symmetric,0.61,0.459741724,,,,
100% Corpus,10,symmetric,0.91,0.443037267,,,,
100% Corpus,10,symmetric,symmetric,0.481874655,,,,
100% Corpus,10,asymmetric,0.01,0.428280625,,,,
100% Corpus,10,asymmetric,0.31,0.41895085,,,,
100% Corpus,10,asymmetric,0.61,0.429593597,,,,
100% Corpus,10,asymmetric,0.91,0.408822762,,,,
100% Corpus,10,asymmetric,symmetric,0.424569402,,,,
