,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
8089,8089,1.0,0.8586,"new, day, bike, trail, reservewheel, ride, go, world, year, race","[(222, 1), (414, 1), (548, 1), (2750, 1)]"
8090,8090,0.0,0.3333,"link, full, check, bike, bio, profile, video, race, build, detail",[]
8091,8091,1.0,0.9631,"new, day, bike, trail, reservewheel, ride, go, world, year, race","[(19, 2), (21, 1), (36, 1), (124, 1), (391, 1), (429, 1), (442, 1), (548, 1), (568, 1), (642, 1), (660, 1), (1142, 1), (3265, 1), (3958, 1), (5022, 1), (5023, 1), (5024, 1)]"
8092,8092,0.0,0.3333,"link, full, check, bike, bio, profile, video, race, build, detail",[]
8093,8093,0.0,0.8639,"link, full, check, bike, bio, profile, video, race, build, detail","[(20, 1), (89, 1), (119, 1), (1286, 1)]"
8094,8094,0.0,0.3333,"link, full, check, bike, bio, profile, video, race, build, detail",[]
8095,8095,1.0,0.6523,"new, day, bike, trail, reservewheel, ride, go, world, year, race","[(301, 1)]"
8096,8096,0.0,0.3333,"link, full, check, bike, bio, profile, video, race, build, detail",[]
8097,8097,2.0,0.6662,"svenmartinphoto, scsyndicate, srammtb, rockshox, rear, day, nice, top, season, race","[(3647, 1)]"
8098,8098,2.0,0.5928,"svenmartinphoto, scsyndicate, srammtb, rockshox, rear, day, nice, top, season, race","[(17, 1), (86, 1), (164, 1), (220, 1), (383, 2), (943, 1), (1681, 1), (1865, 1), (2191, 1)]"
8099,8099,0.0,0.3333,"link, full, check, bike, bio, profile, video, race, build, detail",[]
8100,8100,0.0,0.3333,"link, full, check, bike, bio, profile, video, race, build, detail",[]
8101,8101,2.0,0.7773,"svenmartinphoto, scsyndicate, srammtb, rockshox, rear, day, nice, top, season, race","[(159, 1), (160, 1)]"
8102,8102,1.0,0.6657,"new, day, bike, trail, reservewheel, ride, go, world, year, race","[(1687, 1)]"
8103,8103,1.0,0.6458,"new, day, bike, trail, reservewheel, ride, go, world, year, race","[(86, 1)]"
8104,8104,0.0,0.3333,"link, full, check, bike, bio, profile, video, race, build, detail",[]
8105,8105,2.0,0.6421,"svenmartinphoto, scsyndicate, srammtb, rockshox, rear, day, nice, top, season, race","[(2, 1), (7, 1), (18, 1), (122, 1), (196, 1), (720, 1), (4704, 1), (4844, 1), (5025, 1)]"
8106,8106,0.0,0.3333,"link, full, check, bike, bio, profile, video, race, build, detail",[]
8107,8107,1.0,0.6916,"new, day, bike, trail, reservewheel, ride, go, world, year, race","[(633, 1), (3584, 1)]"
8108,8108,0.0,0.3333,"link, full, check, bike, bio, profile, video, race, build, detail",[]
8109,8109,2.0,0.6662,"svenmartinphoto, scsyndicate, srammtb, rockshox, rear, day, nice, top, season, race","[(4844, 1)]"
8110,8110,0.0,0.7774,"link, full, check, bike, bio, profile, video, race, build, detail","[(604, 1), (5026, 1)]"
8111,8111,1.0,0.6555,"new, day, bike, trail, reservewheel, ride, go, world, year, race","[(1635, 1)]"
8112,8112,1.0,0.6659,"new, day, bike, trail, reservewheel, ride, go, world, year, race","[(1610, 1)]"
8113,8113,0.0,0.6618,"link, full, check, bike, bio, profile, video, race, build, detail","[(18, 1), (271, 1), (670, 1), (1680, 1)]"
8114,8114,0.0,0.3333,"link, full, check, bike, bio, profile, video, race, build, detail",[]
8115,8115,0.0,0.3333,"link, full, check, bike, bio, profile, video, race, build, detail",[]
8116,8116,2.0,0.6653,"svenmartinphoto, scsyndicate, srammtb, rockshox, rear, day, nice, top, season, race","[(5027, 1)]"
8117,8117,0.0,0.3333,"link, full, check, bike, bio, profile, video, race, build, detail",[]
8118,8118,0.0,0.3333,"link, full, check, bike, bio, profile, video, race, build, detail",[]
8119,8119,0.0,0.3333,"link, full, check, bike, bio, profile, video, race, build, detail",[]
8120,8120,2.0,0.6653,"svenmartinphoto, scsyndicate, srammtb, rockshox, rear, day, nice, top, season, race","[(5028, 1)]"
8121,8121,1.0,0.7574,"new, day, bike, trail, reservewheel, ride, go, world, year, race","[(52, 1), (154, 1)]"
8122,8122,1.0,0.6645,"new, day, bike, trail, reservewheel, ride, go, world, year, race","[(1921, 1)]"
8123,8123,0.0,0.3333,"link, full, check, bike, bio, profile, video, race, build, detail",[]
8124,8124,1.0,0.5473,"new, day, bike, trail, reservewheel, ride, go, world, year, race","[(20, 1), (31, 1), (46, 1), (52, 1), (83, 1), (264, 1), (415, 1), (673, 1), (1073, 1), (1460, 1), (1548, 1), (1921, 1), (1987, 1), (3229, 1), (3241, 1), (3384, 1)]"
8125,8125,0.0,0.3333,"link, full, check, bike, bio, profile, video, race, build, detail",[]
8126,8126,0.0,0.7655,"link, full, check, bike, bio, profile, video, race, build, detail","[(20, 1), (72, 1), (79, 1), (89, 1), (91, 1), (518, 1), (2632, 1)]"
8127,8127,0.0,0.3333,"link, full, check, bike, bio, profile, video, race, build, detail",[]
8128,8128,2.0,0.6647,"svenmartinphoto, scsyndicate, srammtb, rockshox, rear, day, nice, top, season, race","[(280, 1)]"
8129,8129,1.0,0.6658,"new, day, bike, trail, reservewheel, ride, go, world, year, race","[(998, 1)]"
8130,8130,0.0,0.3333,"link, full, check, bike, bio, profile, video, race, build, detail",[]
8131,8131,0.0,0.7183,"link, full, check, bike, bio, profile, video, race, build, detail","[(301, 1), (4927, 1)]"
8132,8132,0.0,0.3333,"link, full, check, bike, bio, profile, video, race, build, detail",[]
8133,8133,0.0,0.7713,"link, full, check, bike, bio, profile, video, race, build, detail","[(46, 1), (73, 1), (134, 1), (216, 1), (241, 1), (268, 1), (301, 1), (570, 1), (816, 1), (1713, 1), (2102, 1), (4579, 1), (4929, 1), (5029, 1), (5030, 1)]"
8134,8134,0.0,0.5803,"link, full, check, bike, bio, profile, video, race, build, detail","[(46, 1), (124, 1), (144, 1), (216, 1), (275, 1), (301, 1), (756, 1), (806, 1), (966, 1), (1480, 2)]"
8135,8135,0.0,0.7091,"link, full, check, bike, bio, profile, video, race, build, detail","[(31, 3), (275, 2), (303, 1), (368, 2), (371, 1), (796, 1), (816, 1), (887, 1), (1723, 1), (2214, 1), (2725, 1), (3890, 1), (3934, 1), (5031, 1)]"
8136,8136,2.0,0.674,"svenmartinphoto, scsyndicate, srammtb, rockshox, rear, day, nice, top, season, race","[(71, 1), (186, 1), (196, 1), (264, 1), (590, 1), (637, 1), (5032, 1)]"
8137,8137,0.0,0.3333,"link, full, check, bike, bio, profile, video, race, build, detail",[]
8138,8138,0.0,0.627,"link, full, check, bike, bio, profile, video, race, build, detail","[(275, 1), (301, 1), (757, 1), (1015, 1)]"
8139,8139,2.0,0.4505,"svenmartinphoto, scsyndicate, srammtb, rockshox, rear, day, nice, top, season, race","[(371, 1), (2214, 1)]"
8140,8140,0.0,0.3333,"link, full, check, bike, bio, profile, video, race, build, detail",[]
8141,8141,2.0,0.7768,"svenmartinphoto, scsyndicate, srammtb, rockshox, rear, day, nice, top, season, race","[(43, 1), (5033, 1)]"
8142,8142,2.0,0.8332,"svenmartinphoto, scsyndicate, srammtb, rockshox, rear, day, nice, top, season, race","[(344, 1), (1738, 1), (3494, 1)]"
8143,8143,2.0,0.8331,"svenmartinphoto, scsyndicate, srammtb, rockshox, rear, day, nice, top, season, race","[(159, 1), (330, 1), (4966, 1)]"
8144,8144,0.0,0.7591,"link, full, check, bike, bio, profile, video, race, build, detail","[(36, 1), (615, 1)]"
8145,8145,0.0,0.7773,"link, full, check, bike, bio, profile, video, race, build, detail","[(246, 1), (2704, 1)]"
8146,8146,0.0,0.7771,"link, full, check, bike, bio, profile, video, race, build, detail","[(1319, 1), (5034, 1)]"
8147,8147,2.0,0.7746,"svenmartinphoto, scsyndicate, srammtb, rockshox, rear, day, nice, top, season, race","[(612, 1), (4656, 1)]"
8148,8148,2.0,0.4482,"svenmartinphoto, scsyndicate, srammtb, rockshox, rear, day, nice, top, season, race","[(160, 1), (1326, 1)]"
8149,8149,1.0,0.4497,"new, day, bike, trail, reservewheel, ride, go, world, year, race","[(352, 1), (1793, 1)]"
8150,8150,1.0,0.6665,"new, day, bike, trail, reservewheel, ride, go, world, year, race","[(1793, 1)]"
8151,8151,1.0,0.4453,"new, day, bike, trail, reservewheel, ride, go, world, year, race","[(1321, 1), (1793, 1)]"
8152,8152,2.0,0.4691,"svenmartinphoto, scsyndicate, srammtb, rockshox, rear, day, nice, top, season, race","[(51, 1), (494, 1)]"
8153,8153,2.0,0.8331,"svenmartinphoto, scsyndicate, srammtb, rockshox, rear, day, nice, top, season, race","[(622, 1), (5035, 1), (5036, 1)]"
8154,8154,2.0,0.773,"svenmartinphoto, scsyndicate, srammtb, rockshox, rear, day, nice, top, season, race","[(620, 1), (5037, 1)]"
8155,8155,2.0,0.666,"svenmartinphoto, scsyndicate, srammtb, rockshox, rear, day, nice, top, season, race","[(3495, 1)]"
8156,8156,0.0,0.6638,"link, full, check, bike, bio, profile, video, race, build, detail","[(51, 1)]"
8157,8157,1.0,0.7225,"new, day, bike, trail, reservewheel, ride, go, world, year, race","[(610, 1), (5037, 1)]"
8158,8158,1.0,0.7762,"new, day, bike, trail, reservewheel, ride, go, world, year, race","[(618, 1), (1687, 1)]"
8159,8159,0.0,0.6656,"link, full, check, bike, bio, profile, video, race, build, detail","[(1726, 1)]"
8160,8160,1.0,0.832,"new, day, bike, trail, reservewheel, ride, go, world, year, race","[(1691, 1), (2977, 1), (5038, 1)]"
