Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,9,symmetric,0.31,0.5591687086239883
75% Corpus,9,symmetric,0.61,0.5551160179805543
75% Corpus,9,symmetric,0.9099999999999999,0.5646305047074534
75% Corpus,9,symmetric,symmetric,0.5269051583796412
75% Corpus,9,asymmetric,0.01,0.5206945011419349
75% Corpus,9,asymmetric,0.31,0.5142953797889243
75% Corpus,9,asymmetric,0.61,0.5664283473275344
75% Corpus,9,asymmetric,0.9099999999999999,0.6215810693902329
75% Corpus,9,asymmetric,symmetric,0.5445937156938795
75% Corpus,10,0.01,0.01,0.5321130014957878
75% Corpus,10,0.01,0.31,0.5630021341103986
75% Corpus,10,0.01,0.61,0.5821626674753454
75% Corpus,10,0.01,0.9099999999999999,0.593756882777098
75% Corpus,10,0.01,symmetric,0.5468177984889803
75% Corpus,10,0.31,0.01,0.4934191061651173
75% Corpus,10,0.31,0.31,0.5421958451722977
75% Corpus,10,0.31,0.61,0.5464647187531341
75% Corpus,10,0.31,0.9099999999999999,0.5591043802536467
75% Corpus,10,0.31,symmetric,0.493349784819503
75% Corpus,10,0.61,0.01,0.5032721145741792
75% Corpus,10,0.61,0.31,0.522383128324521
75% Corpus,10,0.61,0.61,0.543347444183591
75% Corpus,10,0.61,0.9099999999999999,0.5902143436550429
75% Corpus,10,0.61,symmetric,0.5022779137984241
75% Corpus,10,0.9099999999999999,0.01,0.5163611120773666
75% Corpus,10,0.9099999999999999,0.31,0.5277396667982748
75% Corpus,10,0.9099999999999999,0.61,0.5325825381312883
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.5214969346710235
75% Corpus,10,0.9099999999999999,symmetric,0.5452200245748658
75% Corpus,10,symmetric,0.01,0.5252012451167608
75% Corpus,10,symmetric,0.31,0.5597299507582535
75% Corpus,10,symmetric,0.61,0.5869986923149538
75% Corpus,10,symmetric,0.9099999999999999,0.5937742537444356
75% Corpus,10,symmetric,symmetric,0.5428650712649111
75% Corpus,10,asymmetric,0.01,0.5203732908659159
75% Corpus,10,asymmetric,0.31,0.5873286335782234
75% Corpus,10,asymmetric,0.61,0.5816325611692741
75% Corpus,10,asymmetric,0.9099999999999999,0.6073739985980435
75% Corpus,10,asymmetric,symmetric,0.5229552986061575
100% Corpus,2,0.01,0.01,0.6213728819856689
100% Corpus,2,0.01,0.31,0.5836940344197344
100% Corpus,2,0.01,0.61,0.6523379281760631
100% Corpus,2,0.01,0.9099999999999999,0.6031934385671892
100% Corpus,2,0.01,symmetric,0.6791872891523618
100% Corpus,2,0.31,0.01,0.629898526599985
100% Corpus,2,0.31,0.31,0.6451419425287642
100% Corpus,2,0.31,0.61,0.6117039450213932
100% Corpus,2,0.31,0.9099999999999999,0.5900966051556757
100% Corpus,2,0.31,symmetric,0.5762439064348597
100% Corpus,2,0.61,0.01,0.5887879805455636
100% Corpus,2,0.61,0.31,0.5682994293560029
100% Corpus,2,0.61,0.61,0.562947105067604
100% Corpus,2,0.61,0.9099999999999999,0.6039644663383638
100% Corpus,2,0.61,symmetric,0.5706189164536208
