Validation_Set,Topics,Alpha,Beta,Coherence,,,Topics,75% Corpus,,Topics,100% Corpus
100% Corpus,3,0.61,0.01,0.605200766,,,,,,,
100% Corpus,3,0.61,0.31,0.584452955,,,,,,,
100% Corpus,3,0.61,0.61,0.567111611,,,,,,,
100% Corpus,3,0.61,0.91,0.616192146,,,,,,,
100% Corpus,3,0.61,symmetric,0.604518432,,,,,,,
100% Corpus,3,0.91,0.01,0.619798323,,,,,,,
100% Corpus,3,0.91,0.31,0.645031168,,,,,,,
100% Corpus,3,0.91,0.61,0.632960595,,,,,,,
100% Corpus,3,0.91,0.91,0.614663399,,,,,,,
100% Corpus,3,0.91,symmetric,0.636125167,,,,,,,
100% Corpus,3,symmetric,0.01,0.60692546,,,,,,,
100% Corpus,3,symmetric,0.31,0.612702814,,,,,,,
100% Corpus,3,symmetric,0.61,0.601384847,,,,,,,
100% Corpus,3,symmetric,0.91,0.633421887,,,,,,,
100% Corpus,3,symmetric,symmetric,0.594559521,,,,,,,
100% Corpus,3,asymmetric,0.01,0.67190936,,,,,,,
100% Corpus,3,asymmetric,0.31,0.617734587,,,,,,,
100% Corpus,3,asymmetric,0.61,0.632960139,,,,,,,
100% Corpus,3,asymmetric,0.91,0.654939705,,,,,,,
100% Corpus,3,asymmetric,symmetric,0.635302452,,,,,,,
100% Corpus,4,0.01,0.01,0.593699364,17.38344332,,,,,,
100% Corpus,4,0.01,0.31,0.597970307,0.579448111,,,,,,
100% Corpus,4,0.01,0.61,0.586525035,,,,,,,
100% Corpus,4,0.01,0.91,0.555413381,,,,,,,
100% Corpus,4,0.01,symmetric,0.603876549,,,,,,,
100% Corpus,4,0.31,0.01,0.561584336,,,,,,,
100% Corpus,4,0.31,0.31,0.574468363,,,,,,,
100% Corpus,4,0.31,0.61,0.558663568,,,,,,,
100% Corpus,4,0.31,0.91,0.571755586,,,,,,,
100% Corpus,4,0.31,symmetric,0.565454969,,,,,,,
100% Corpus,4,0.61,0.01,0.557102641,,,,,,,
100% Corpus,4,0.61,0.31,0.569830319,,,,,,,
100% Corpus,4,0.61,0.61,0.575718198,,,,,,,
100% Corpus,4,0.61,0.91,0.588426608,,,,,,,
100% Corpus,4,0.61,symmetric,0.5787937,,,,,,,
100% Corpus,4,0.91,0.01,0.545014338,,,,,,,
100% Corpus,4,0.91,0.31,0.577095637,,,,,,,
100% Corpus,4,0.91,0.61,0.577092064,,,,,,,
100% Corpus,4,0.91,0.91,0.57550698,,,,,,,
100% Corpus,4,0.91,symmetric,0.557332305,,,,,,,
100% Corpus,4,symmetric,0.01,0.574262279,,,,,,,
100% Corpus,4,symmetric,0.31,0.58258484,,,,,,,
100% Corpus,4,symmetric,0.61,0.58073259,,,,,,,
100% Corpus,4,symmetric,0.91,0.56474343,,,,,,,
100% Corpus,4,symmetric,symmetric,0.563581005,,,,,,,
100% Corpus,4,asymmetric,0.01,0.607756617,,,,,,,
100% Corpus,4,asymmetric,0.31,0.575162856,,,,,,,
100% Corpus,4,asymmetric,0.61,0.613552322,,,,,,,
100% Corpus,4,asymmetric,0.91,0.676898902,,,,,,,
100% Corpus,4,asymmetric,symmetric,0.572844231,,,,,,,
100% Corpus,5,0.01,0.01,0.605058568,17.54867241,,,,,,
100% Corpus,5,0.01,0.31,0.621632378,0.584955747,,,,,,
100% Corpus,5,0.01,0.61,0.594047378,,,,,,,
100% Corpus,5,0.01,0.91,0.571596994,,,,,,,
100% Corpus,5,0.01,symmetric,0.566196257,,,,,,,
100% Corpus,5,0.31,0.01,0.557888856,,,,,,,
100% Corpus,5,0.31,0.31,0.590461399,,,,,,,
100% Corpus,5,0.31,0.61,0.587280396,,,,,,,
100% Corpus,5,0.31,0.91,0.587430144,,,,,,,
100% Corpus,5,0.31,symmetric,0.554111421,,,,,,,
100% Corpus,5,0.61,0.01,0.596707136,,,,,,,
100% Corpus,5,0.61,0.31,0.593593535,,,,,,,
100% Corpus,5,0.61,0.61,0.572789876,,,,,,,
100% Corpus,5,0.61,0.91,0.602048146,,,,,,,
100% Corpus,5,0.61,symmetric,0.56803565,,,,,,,
100% Corpus,5,0.91,0.01,0.58209181,,,,,,,
100% Corpus,5,0.91,0.31,0.585481763,,,,,,,
100% Corpus,5,0.91,0.61,0.598523468,,,,,,,
100% Corpus,5,0.91,0.91,0.539185101,,,,,,,
100% Corpus,5,0.91,symmetric,0.589843511,,,,,,,
100% Corpus,5,symmetric,0.01,0.591616026,,,,,,,
100% Corpus,5,symmetric,0.31,0.579864779,,,,,,,
100% Corpus,5,symmetric,0.61,0.569520922,,,,,,,
100% Corpus,5,symmetric,0.91,0.583643436,,,,,,,
100% Corpus,5,symmetric,symmetric,0.576454637,,,,,,,
100% Corpus,5,asymmetric,0.01,0.567267374,,,,,,,
100% Corpus,5,asymmetric,0.31,0.625790627,,,,,,,
100% Corpus,5,asymmetric,0.61,0.585197917,,,,,,,
100% Corpus,5,asymmetric,0.91,0.606652515,,,,,,,
100% Corpus,5,asymmetric,symmetric,0.59866039,,,,,,,
100% Corpus,6,0.01,0.01,0.572614313,17.49625354,,,,,,
100% Corpus,6,0.01,0.31,0.610817583,0.583208451,,,,,,
100% Corpus,6,0.01,0.61,0.581776532,,,,,,,
100% Corpus,6,0.01,0.91,0.585058459,,,,,,,
100% Corpus,6,0.01,symmetric,0.572626178,,,,,,,
100% Corpus,6,0.31,0.01,0.549013914,,,,,,,
100% Corpus,6,0.31,0.31,0.601207393,,,,,,,
100% Corpus,6,0.31,0.61,0.630042051,,,,,,,
100% Corpus,6,0.31,0.91,0.614595043,,,,,,,
100% Corpus,6,0.31,symmetric,0.584083614,,,,,,,
100% Corpus,6,0.61,0.01,0.536735047,,,,,,,
100% Corpus,6,0.61,0.31,0.564027332,,,,,,,
100% Corpus,6,0.61,0.61,0.54627097,,,,,,,
100% Corpus,6,0.61,0.91,0.600323372,,,,,,,
100% Corpus,6,0.61,symmetric,0.581697518,,,,,,,
100% Corpus,6,0.91,0.01,0.559747484,,,,,,,
100% Corpus,6,0.91,0.31,0.568415626,,,,,,,
100% Corpus,6,0.91,0.61,0.575223821,,,,,,,
100% Corpus,6,0.91,0.91,0.564103855,,,,,,,
100% Corpus,6,0.91,symmetric,0.552299497,,,,,,,
100% Corpus,6,symmetric,0.01,0.591604636,,,,,,,
100% Corpus,6,symmetric,0.31,0.601191685,,,,,,,
100% Corpus,6,symmetric,0.61,0.625049245,,,,,,,
100% Corpus,6,symmetric,0.91,0.595157271,,,,,,,
100% Corpus,6,symmetric,symmetric,0.575469908,,,,,,,
100% Corpus,6,asymmetric,0.01,0.572357488,,,,,,,
100% Corpus,6,asymmetric,0.31,0.597268833,,,,,,,
100% Corpus,6,asymmetric,0.61,0.579062044,,,,,,,
100% Corpus,6,asymmetric,0.91,0.618931407,,,,,,,
100% Corpus,6,asymmetric,symmetric,0.589481418,,,,,,,
100% Corpus,7,0.01,0.01,0.557870721,16.85377882,,,,,,
100% Corpus,7,0.01,0.31,0.583656339,0.561792627,,,,,,
100% Corpus,7,0.01,0.61,0.565576217,,,,,,,
100% Corpus,7,0.01,0.91,0.580075879,,,,,,,
100% Corpus,7,0.01,symmetric,0.560566215,,,,,,,
100% Corpus,7,0.31,0.01,0.512616327,,,,,,,
100% Corpus,7,0.31,0.31,0.551878116,,,,,,,
100% Corpus,7,0.31,0.61,0.568517473,,,,,,,
100% Corpus,7,0.31,0.91,0.549330802,,,,,,,
100% Corpus,7,0.31,symmetric,0.538400644,,,,,,,
100% Corpus,7,0.61,0.01,0.526492452,,,,,,,
100% Corpus,7,0.61,0.31,0.57353202,,,,,,,
100% Corpus,7,0.61,0.61,0.550982033,,,,,,,
100% Corpus,7,0.61,0.91,0.581123667,,,,,,,
100% Corpus,7,0.61,symmetric,0.555022288,,,,,,,
100% Corpus,7,0.91,0.01,0.552371093,,,,,,,
100% Corpus,7,0.91,0.31,0.575574658,,,,,,,
100% Corpus,7,0.91,0.61,0.57480784,,,,,,,
100% Corpus,7,0.91,0.91,0.572955369,,,,,,,
100% Corpus,7,0.91,symmetric,0.53127766,,,,,,,
