,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
72,72,3.0,0.9642,"repost, repostapp, santacruzbicycles, reevolutionsg, mtblife, santacruzbicyclessg, bike, gojuliana, julianabicycles, back","['repost', 'santacruzbicycles', 'repostapp', 'syndicate', 'lourdes', 'helmet', 'cam', 'cup', 'dh', 'racing', 'season', 'finally', 'ratboy', 'takes', 'lourdes', 'cup', 'track', 'full', 'video', 'profile', 'thesyndicate']"
73,73,2.0,0.9124,"repost, repostapp, santacruzbicycles, reevolutionsg, mtblife, santacruzbicyclessg, back, julianabicycles, happy, race","['repost', 'santacruzbicycles', 'repostapp', 'cedricgracia', 'hightowercc', 'dh', 'course', 'garyperkin']"
74,74,1.0,0.9627,"repost, repostapp, santacruzbicycles, reevolutionsg, santacruzbicyclessg, weekend, bike, mtblife, gojuliana, back","['repost', 'julianabicycles', 'repostapp', 'juliana', 'srammtb', 'team', 'rachelleboobar', 'caught', 'kelliemmett', 'leishner', 'missing', 'ridehousemartin', 'latest', 'plans', 'check', 'pinkbike', 'story', 'bio', 'meagherdude', 'gojuliana']"
75,75,3.0,0.9512,"repost, repostapp, santacruzbicycles, reevolutionsg, mtblife, santacruzbicyclessg, bike, gojuliana, julianabicycles, back","['repost', 'cedricgracia', 'repostapp', 'arrived', 'house', 'santacruzbicycles', 'ridersboutique', 'tallboy', 'offroad', 'mtb', 'summer', 'time', 'build', 'babes', 'hugo']"
76,76,3.0,0.9054,"repost, repostapp, santacruzbicycles, reevolutionsg, mtblife, santacruzbicyclessg, bike, gojuliana, julianabicycles, back","['repost', 'repostapp', 'always', 'pleasure', 'chriskingbuzz', 'bling', 'mtv', 'awards', 'week', 'bc', 'tammar', 'hoops', 'comin', 'ya', 'bling', 'bcwheels', 'chriskingbuzz', 'mtb', 'soenduro']"
77,77,3.0,0.9271,"repost, repostapp, santacruzbicycles, reevolutionsg, mtblife, santacruzbicyclessg, bike, gojuliana, julianabicycles, back","['happy', 'labor', 'aftermath', 'friends', 'customers', 'enjoy', 'trails', 'cheers', 'reevolution', 'team']"
78,78,2.0,0.9345,"repost, repostapp, santacruzbicycles, reevolutionsg, mtblife, santacruzbicyclessg, back, julianabicycles, happy, race","['repost', 'santacruzbicycles', 'repostapp', 'looking', 'wicked', 'dark', 'grey', 'rust', 'setup', 'tallboy', 'tallboycc']"
79,79,3.0,0.8711,"repost, repostapp, santacruzbicycles, reevolutionsg, mtblife, santacruzbicyclessg, bike, gojuliana, julianabicycles, back","['repost', 'repostapp', 'chrissmartinn', 'goin', 'flat']"
80,80,3.0,0.9543,"repost, repostapp, santacruzbicycles, reevolutionsg, mtblife, santacruzbicyclessg, bike, gojuliana, julianabicycles, back","['repost', 'santacruzbicycles', 'repostapp', 'gregminnaar', 'mess', 'around', 'mess', 'around', 'backwheelbeer', 'lovesbackwheel', 'beer', 'full', 'launch', 'video', 'profile', 'cutmedia']"
81,81,3.0,0.9654,"repost, repostapp, santacruzbicycles, reevolutionsg, mtblife, santacruzbicyclessg, bike, gojuliana, julianabicycles, back","['repost', 'julianabicycles', 'repostapp', 'take', 'skills', 'clinic', 'hard', 'comfort', 'zone', 'see', 'ten', 'kelliemmett', 'things', 'wish', 'known', 'started', 'racing', 'blog', 'bio', 'svenmartinphoto', 'gojuliana', 'roubionisforever']"
